identificador;asignatura;anho;convocatoria;tipoexam;puntaje
90ee617a59be1825e56a7b0c0ca614bf;LOGICA PARA CIENCIAS DE LA COMPUTACION;2014;1;1F   ;73
3656f5150407a4bc6adfc4837046dc28;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;1F   ;62
90ee617a59be1825e56a7b0c0ca614bf;FISICA 2;2014;1;2F   ;62
aa861e1e596780a220ae323c1039f204;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;70
90ee617a59be1825e56a7b0c0ca614bf;CALCULO III;2014;1;2F   ;52
cd6402136f2c4a7de7ac8b52fbea1c32;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;1F   ;20
104e8f223a66e75f0eb60522a6d8bbcf;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;2F   ;85
dc1178031b47f4336fba3aa9f20c58e6;ALGORITMOS Y ESTRUCTURA DE DATOS I;2014;1;1F   ;35
104e8f223a66e75f0eb60522a6d8bbcf;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS I;2014;1;1F   ;85
9cc1b975a6ac5d013c18ea036872a34e;FUNDAMENTOS DE MATEMATICA;2014;1;2F   ;80
104e8f223a66e75f0eb60522a6d8bbcf;INGLES;2014;1;2F   ;82
bce4f9acb6068975c836f8d1541192c4;INGENIERIA DE SOFTWARE II;2014;1;1F   ;90
05c4a7ed0fa9b5b805a05124faaa1fd9;REDES DE COMPUTADORAS I;2014;1;1F   ;53
5d9c615810d0a0bd98f3289e10fb6eb0;CONTABILIDAD;2014;1;2F   ;82
ca87f55c0b53232fb5e7ef58fc8c6c01;DESEMPEÑO Y SEGURIDAD EN LAS REDES;2014;1;2F   ;80
bed9b3e3f92672cbc3ff502c1425dad2;CALCULO III;2014;1;1F   ;100
f456642ebbc56c7475ff36cf20f671c8;ESTRUCTURA DE LOS LENGUAJES;2014;1;1F   ;57
3656f5150407a4bc6adfc4837046dc28;ALGORITMOS Y ESTRUCTURA DE DATOS II;2014;1;1F   ;75
f456642ebbc56c7475ff36cf20f671c8;INGENIERIA DE SOFTWARE II;2014;1;1F   ;74
9cc1b975a6ac5d013c18ea036872a34e;EXPRESION ORAL Y ESCRITA;2014;1;1F   ;92
f456642ebbc56c7475ff36cf20f671c8;INVESTIGACION DE OPERACIONES II;2014;1;2F   ;80
8b581549c535f126068aba1c8fa6ab34;DATA WAREHOUSE I - DISEÑO MULTIDIMENSIONAL;2014;1;2F   ;87
f456642ebbc56c7475ff36cf20f671c8;MATEMATICA APLICADA;2014;1;2F   ;100
45760418385648e3ca69374748ec4540;MARKETING;2014;1;2F   ;90
f456642ebbc56c7475ff36cf20f671c8;BASE DE DATOS II;2014;1;1F   ;90
dc1178031b47f4336fba3aa9f20c58e6;FUNDAMENTOS DE MATEMATICA;2014;1;2F   ;70
f456642ebbc56c7475ff36cf20f671c8;ADMINISTRACION GUBERNAMENTAL;2014;1;2F   ;90
bb5006348fa11ce26dc634f05a04f08f;ALGORITMOS Y ESTRUCTURA DE DATOS III;2014;1;1F   ;66
2e0af88a7481e3d45401a28f4f3756e7;FISICA 1;2014;1;1F   ;63
29b36d4859faacd94da37426baf1b574;GESTION DE CENTRO DE COMPUTOS;2014;1;2F   ;58
2e0af88a7481e3d45401a28f4f3756e7;FISICA 1;2014;1;2F   ;68
29b36d4859faacd94da37426baf1b574;FISICA 3;2014;1;2F   ;61
d1cd699b3e4b1a889ff47cd8983b32b0;DESEMPEÑO Y SEGURIDAD EN LAS REDES;2014;1;1F   ;90
cd6402136f2c4a7de7ac8b52fbea1c32;ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS II;2014;1;2F   ;74
